full_name,flb_team_init,player_id,injured_list
Devin Williams,EEB,willide03,
Jake Cronenworth,PMT,croneja01,
Julio Rodríguez,EEB,rodriju01,
Adley Rutschman,KSS,rutscad01,
Bobby Witt,PMT,wittbo02,
Jeremy Peña,KLO,penaje02,
Corbin Carroll,BFP,carroco02,
George Kirby,GFB,kirbyge01,
Gunnar Henderson,ZMG,hendegu01,
Michael Harris II,BEB,harrimi04,
Hunter Brown,GST,brownhu01,
Steven Kwan,KLQ,kwanst01,
Hunter Greene,DHL,greenhu01,
Nick Lodolo,BEB,lodolni01,
Nolan Gorman,KSS,gormano01,
Vinnie Pasquantino,KLO,pasquvi01,
Brendan Donovan,EEB,donovbr01,
William Contreras,KLQ,contrwi02,
Jeffrey Springs,DHL,sprinje01,
Spencer Torkelson,ZMG,torkesp01,
Brett Baty,BEB,batybr01,
Félix Bautista,GST,bautife01,
Jose Miranda,KLO,miranjo01,
Gabriel Moreno,DHL,morenga01,
MacKenzie Gore,VWB,gorema01,
Taylor Ward,KSS,wardta01,
Jhoan Duran,GST,duranjh01,
Edward Cabrera,BFP,cabreed02,
Ryan Helsley,RHJ,helslry01,
Cal Raleigh,BFP,raleica01,
Clay Holmes,PMT,holmecl01,
Alexis Díaz,CEC,diazal03,
Andrés Muñoz,BFP,munozan01,
Logan O'Hoppe,GFB,ohopplo01,
Riley Greene,ZMG,greenri03,
Isaac Paredes,KLO,paredis01,
Francisco Álvarez,CEC,alvarfr01,
Seiya Suzuki,RHJ,suzukse01,
Josh Naylor,MHH,naylojo01,
David Robertson,PMT,roberda08,
Hayden Wesneski,RHJ,wesneha01,
Bryan Abreu,ZMG,abreubr01,
Miguel Vargas,BEB,vargami01,
Lars Nootbaar,DHL,nootbla01,
Bryce Elder,DHL,elderbr01,
Bryson Stott,CEC,stottbr01,
Jake McCarthy,VWB,mccarja02,
Jason Adam,MHH,adamja01,
Graham Ashcraft,KLO,ashcrgr01,
Jorge López,PMT,lopezjo02,
Joc Pederson,MHH,pederjo01,
Michael King,ZMG,kingmi01,
José Alvarado,CEC,alvarjo03,
Matt Moore,KLQ,moorema02,
Luis Rengifo,MHH,rengilu01,
CJ Abrams,KSS,abramcj01,
Triston Casas,RHJ,casastr01,
Ha-Seong Kim,MHH,kimha01,
Matthew Liberatore,KLO,liberma01,
Dylan Lee,BFP,leedy01,
John Schreiber,GFB,schrejo01,
José Quintana,KSS,quintjo01,
Griffin Jax,BFP,jaxgr01,
Matt Strahm,EEB,strahma01,
Shea Langeliers,RHJ,langesh01,
Maikel Garcia,BFP,garcima01,
Brent Rooker,CEC,rookebr01,
Nick Martinez,KSS,martini01,
Garrett Mitchell,MHH,mitchga01,Y
Andre Pallante,KLO,pallaan01,
Michael Wacha,ZMG,wachami01,
Carlos Estévez,CEC,estevca01,
Matt Vierling,MHM,vierlma01,
Evan Carter*,KLO,carteev01,
Bobby Miller,KLO,millebo06,Y
Elly De La Cruz#,PMT,delacel01,
Tanner Bibee,GFB,bibeeta01,
Spencer Steer,VWB,steersp01,
Grayson Rodriguez,BFP,rodrigr01,
Jordan Walker,RHJ,walkejo02,
Anthony Volpe,DHL,volpean01,
Cole Ragans*,CEC,raganco01,
Eury Pérez,ZMG,perezeu02,
Kerry Carpenter*,KLQ,carpeke01,
Yainer Diaz,MHM,diazya02,
Junior Caminero,BFP,caminju01,
Kodai Senga,GST,sengako01,
Kyle Bradish,GST,bradiky01,
Royce Lewis,KLO,lewisro02,
Masataka Yoshida*,PMT,yoshima02,
Brayan Bello,GFB,bellobr01,
Bryce Miller,VWB,millebr04,
TJ Friedl*,VWB,friedtj01,
Kutter Crawford,RHJ,crawfku01,
Kyle Harrison*,BEB,harriky01,
Jasson Domínguez#,BFP,dominja01,
Ezequiel Tovar,ZMG,tovarez01,
Zack Gelof,KSS,gelofza01,
Matt McLain,MHM,mclaima01,
Gavin Williams,BFP,williga01,
Taj Bradley,KLO,bradlta01,
Orlando Arcia,KSS,arciaor01,
Jake Burger,PMT,burgeja01,
Logan Allen*,KSS,allenlo02,
Bo Naylor*,BEB,naylobo01,
Cristopher Sánchez*,GFB,sanchcr01,
Heston Kjerstad*,BEB,kjershe01,
Matt Brash,DHL,brashma01,
Tanner Scott*,KSS,scottta01,
Abner Uribe,ZMG,uribeab01,
Javier Assad,MHM,assadja01,
Jordan Lawlar,BFP,lawlajo01,
Chris Martin,GST,martich02,
Ryan O'Hearn*,KSS,ohearry01,
Reese Olson,KLO,olsonre01,
Ryan Pepiot,BEB,pepiory01,
Robert Suarez,PMT,suarero01,
Tyler Holton*,VWB,holtoty01,
Mauricio Dubón,RHJ,dubonma01,
Michael Busch*,BEB,buschmi02,
Dean Kremer,KSS,kremede01,
Masyn Winn,CEC,winnma01,
Nolan Schanuel*,KLO,schanno01,
Andrew Abbott*,MHM,abbotan01,
Zack Littell,MHH,litteza01,
Patrick Bailey#,DHL,bailepa01,
Luke Raley*,VWB,raleylu01,
Miguel Amaya,RHJ,amayami01,
Noelvi Marte,BEB,marteno01,
Pete Crow-Armstrong*,CEC,crowape01,
Sal Frelick*,ZMG,frelisa01,
Hoby Milner*,KLQ,milneho01,
Zach Neto,VWB,netoza01,
