Rank,Player,Age,Position,Org,ProspectRank,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16
152,Teoscar Hernandez,32,OF,LAD,,,,,,,,,,,
153,Mike Trout,33,OF,LAA,,,,,,,,,,,
154,Thomas White,21,SP,MIA,24,,,,,,,,,,
155,Jac Caglianone,22,OF,KCR,,,,,,,,,,,
156,Zack Wheeler,34,SP,PHI,,,,,,,,,,,
157,George Springer,35,OF,TOR,,,,,,,,,,,
158,Kyle Stowers,27,OF,MIA,,,,,,,,,,,
159,Yandy Diaz,33,1B,TBR,,,,,,,,,,,
160,Francisco Alvarez,23,C,NYM,,,,,,,,,,,
161,Bubba Chandler,23,SP,PIT,25,,,,,,,,,,
162,Carlos Rodon,31,SP,NYY,,,,,,,,,,,
163,Payton Tolle,23,SP,BOS,26,,,,,,,,,,
164,Nathan Eovaldi,34,SP,TEX,,,,,,,,,,,
165,Jack Flaherty,28,SP,DET,,,,,,,,,,,
166,Sonny Gray,34,SP,CIN,,,,,,,,,,,
167,Travis Bazzana,23,2B,CLE,27,,,,,,,,,,
168,Jonah Tong,22,SP,NYM,28,,,,,,,,,,
169,Ranger Suarez,28,SP,PHI,,,,,,,,,,,
170,Tanner Bibee,25,SP,CLE,,,,,,,,,,,
171,Ian Happ,30,OF,CHC,,,,,,,,,,,
172,Anthony Volpe,24,SS,NYY,,,,,,,,,,,
173,Brandon Nimmo,32,OF,NYM,,,,,,,,,,,
174,Mark Vientos,25,3B,NYM,,,,,,,,,,,
175,Eugenio Suarez,33,3B,FA,,,,,,,,,,,
176,Gavin Williams,24,SP,CLE,,,,,,,,,,,
177,Shane McClanahan,27,SP,TBR,,,,,,,,,,,
178,Joshua Baez,22,OF,STL,29,,,,,,,,,,
179,Zebby Matthews,25,SP,MIN,,,,,,,,,,,
180,Shane Baz,25,SP,TBR,,,,,,,,,,,
181,Luis Castillo,31,SP,SEA,,,,,,,,,,,
182,Ryan Waldschmidt,23,OF,ARI,30,,,,,,,,,,
183,Edward Cabrera,26,SP,MIA,,,,,,,,,,,
184,Noelvi Marte,23,3B,CIN,,,,,,,,,,,
185,Matt Chapman,32,3B,SFG,,,,,,,,,,,
186,Gleyber Torres,28,2B,FA,,,,,,,,,,,
187,Lazaro Montes,21,OF,SEA,31,,,,,,,,,,
188,Brett Baty,25,3B,NYM,,,,,,,,,,,
189,Jordan Lawlar,22,SS,ARI,,,,,,,,,,,
190,Zyhir Hope,20,OF,LAD,32,,,,,,,,,,
191,Jonathan Aranda,27,1B,TBR,,,,,,,,,,,
192,Robbie Ray,32,SP,SFG,,,,,,,,,,,
193,Shota Imanaga,31,SP,FA,,,,,,,,,,,
194,Bryce Miller,25,SP,SEA,,,,,,,,,,,
195,Grayson Rodriguez,24,SP,BAL,,,,,,,,,,,
196,Sandy Alcantara,28,SP,MIA,,,,,,,,,,,
197,Ryan Pepiot,26,SP,TBR,,,,,,,,,,,
198,Brandon Woodruff,31,SP,FA,,,,,,,,,,,
199,Jasson Dominguez,22,OF,NYY,,,,,,,,,,,
200,Spencer Torkelson,25,1B,DET,,,,,,,,,,,
201,Nico Hoerner,28,2B,CHC,,,,,,,,,,,
202,Jared Jones,23,SP,PIT,,,,,,,,,,,
203,Corbin Burnes,29,SP,ARI,,,,,,,,,,,
204,Cade Horton,23,SP,CHC,,,,,,,,,,,
205,Josh Hader,30,RP,HOU,,,,,,,,,,,
206,Justin Steele,28,SP,CHC,,,,,,,,,,,
207,Kristian Campbell,23,2B,BOS,,,,,,,,,,,
208,Alejandro Kirk,26,C,TOR,,,,,,,,,,,
209,Brandon Lowe,30,2B,TBR,,,,,,,,,,,
210,Masyn Winn,23,SS,STL,,,,,,,,,,,
211,Adley Rutschman,27,C,BAL,,,,,,,,,,,
212,Carter Jensen,21,C,KCR,33,,,,,,,,,,
213,Gabriel Moreno,25,C,ARI,,,,,,,,,,,
214,Hunter Goodman,25,C,COL,,,,,,,,,,,
215,Kyle Teel,23,C,CWS,,,,,,,,,,,
216,Ceddanne Rafaela,25,OF,BOS,,,,,,,,,,,
217,Drew Rasmussen,28,SP,TBR,,,,,,,,,,,
218,Jeff Hoffman,31,RP,TOR,,,,,,,,,,,
219,Aaron Nola,31,SP,PHI,,,,,,,,,,,
220,Kris Bubic,26,SP,KCR,,,,,,,,,,,
221,Joe Musgrove,31,SP,SDP,,,,,,,,,,,
222,Zac Gallen,28,SP,ARI,,,,,,,,,,,
223,Alec Burleson,26,1B,STL,,,,,,,,,,,
224,Willson Contreras,33,1B,STL,,,,,,,,,,,
225,Xavier Edwards,25,2B,MIA,,,,,,,,,,,
226,Triston Casas,25,1B,BOS,,,,,,,,,,,
227,Kerry Carpenter,27,OF,DET,,,,,,,,,,,
228,Heliot Ramos,25,OF,SFG,,,,,,,,,,,
