Rank,Change,Player,Team,POS.,SEC.POS.,Age,ETA,Prospect,August
159,40,Shane McClanahan,TB,LHP,-,28.91,-,-,199
160,-15,Luis García Jr.,WAS,2B,1B*,25.86,-,-,145
161,-30,Dylan Crews,WAS,OF,-,24.08,-,-,131
162,30,Carson Benge,NYM,OF,-,23.18,2026,25,192
163,100,George Springer,TOR,OF,-,36.52,-,-,263
164,-25,Roki Sasaki,LAD,RHP,-,24.39,-,26,139
165,15,Chandler Simpson,TB,OF,-,25.35,-,-,180
166,35,Cade Horton,CHC,RHP,-,24.6,-,-,201
167,160,Sandy Alcantara,MIA,RHP,-,30.55,-,-,327
168,-,Jakob Marsee,MIA,OF,-,24.74,-,-,-
169,-32,Jordan Lawlar,ARI,2B,"SS, 3B",23.69,-,27,137
170,15,Travis Bazzana,CLE,2B,-,23.58,2026,28,185
171,20,Yainer Diaz,HOU,C,-,27.51,-,-,191
172,85,Trevor Story,BOS,SS,-,33.36,-,-,257
173,-25,Marcelo Mayer,BOS,3B,"2B, SS",23.29,-,29,148
174,40,Iván Herrera,STL,DH,"C^, OF*",25.82,-,-,214
175,65,Dylan Beavers,BAL,OF,-,24.62,-,30,240
176,30,Kevin Gausman,TOR,RHP,-,35.22,-,-,206
177,110,Shane Bieber,TOR,RHP,-,30.82,-,-,287
178,-40,Matt Shaw,CHC,3B,2B*,24.39,-,-,138
179,-10,Steven Kwan,CLE,OF,-,28.56,-,-,169
180,40,Thomas White,MIA,LHP,-,21.49,2026,31,220
181,0,Luis Castillo,SEA,RHP,-,33.29,-,-,181
182,-48,Adley Rutschman,BAL,C,-,28.14,-,-,134
183,110,Brandon Woodruff,MIL,RHP,-,33.13,-,-,293
184,240,Cade Smith,CLE,RHP,-,26.27,-,-,424
185,45,Ryan Waldschmidt,ARI,OF,-,23.47,2026,32,230
186,-2,Jonah Tong,NYM,RHP,-,22.77,-,33,184
187,-35,Bryce Miller,SEA,RHP,-,27.59,-,-,152
188,-70,Kerry Carpenter,DET,OF,-,28.56,-,-,118
189,0,Josue Briceño,DET,C,1B,21.51,2026,34,189
190,15,Owen Caissie,CHC,OF,-,23.71,-,35,205
191,-20,Kyle Manzardo,CLE,1B,-,25.69,-,-,171
192,170,Josuar Gonzalez,SF,SS,-,18.44,2029,36,362
193,0,Sal Frelick,MIL,OF,"1B*, 3B*",25.93,-,-,193
194,-40,Emmanuel Rodriguez,MIN,OF,-,23.08,2026,37,154
195,-25,Addison Barger,TOR,3B,OF,26.37,-,-,170
196,-80,Zebby Matthews,MIN,RHP,-,25.84,-,-,116
197,75,Caleb Bonemer,CHW,SS,3B,20.47,2028,38,272
198,72,Ryne Nelson,ARI,RHP,-,28.15,-,-,270
199,-35,Lazaro Montes,SEA,OF,-,21.43,2026,39,164
200,265,Daylen Lile,WAS,OF,-,23.32,-,-,465
201,206,Carter Jensen,KC,C,-,22.73,-,40,407
202,0,Alec Burleson,STL,OF,1B,27.33,-,-,202
203,70,Aroldis Chapman,BOS,LHP,-,37.46,-,-,273
204,0,Xavier Edwards,MIA,2B,SS,26.63,-,-,204
205,-40,Ryan Weathers,MIA,LHP,-,26.39,-,-,165
206,30,Trey Yesavage,TOR,RHP,-,22.66,-,41,236
207,72,Bryson Stott,PHI,2B,SS^,28.47,-,-,279
208,-40,Chase DeLauter,CLE,OF,-,24.46,2026,42,168
209,6,Bryce Rainer,DET,SS,-,20.73,2027,43,215
210,0,Corbin Burnes,ARI,RHP,-,31.43,-,-,210
211,5,Eli Willits,WAS,SS,-,18.29,2029,44,216
212,-30,Jose Altuve,HOU,2B,OF,35.89,-,-,182
213,-90,Nathan Eovaldi,TEX,RHP,-,36.12,-,-,123
214,-5,Eugenio Suárez,-,3B,1B*,34.69,-,-,209
215,35,Francisco Alvarez,NYM,C,-,24.35,-,-,250
216,-20,Michael Arroyo,SEA,2B,-,21.39,2026,45,196
217,140,David Bednar,NYY,RHP,-,30.85,-,-,357
218,95,Rainiel Rodriguez,STL,C,-,19.23,2028,46,313
219,0,Robbie Ray,SF,LHP,-,34.48,-,-,219
220,-60,Teoscar Hernández,LAD,OF,-,33.44,-,-,160
221,0,JoJo Parker,TOR,SS,-,19.63,2029,47,221
222,6,Brandon Nimmo,NYM,OF,-,32.99,-,-,228
223,0,Gerrit Cole,NYY,RHP,-,35.55,-,-,223
224,0,Dansby Swanson,CHC,SS,-,32.12,-,-,224
